"address","attributes","business_id","categories","city","hours","is_open","latitude","longitude","name","neighborhood","postal_code","review_count","stars","state","type"
"4811 S Rainbow Blvd","Alcohol: full_bar,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},GoodForKids: True,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False},OutdoorSeating: True,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 2,RestaurantsReservations: True,RestaurantsTableService: True,RestaurantsTakeOut: True,WheelchairAccessible: True","saWZO6hB4B8P-mIzS1--Xw","Persian/Iranian,Restaurants,Ethnic Food,Food,Greek,Specialty Food","Las Vegas","",0,36.1010205,-115.2443122,"Kabob Palace","Spring Valley",89103,15,2.5,"NV","business"
"4972 S Maryland Pkwy, Ste 22","Alcohol: none,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},BikeParking: True,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},Caters: True,GoodForKids: True,HasTV: True,NoiseLevel: quiet,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: True,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 2,RestaurantsReservations: True,RestaurantsTableService: True,RestaurantsTakeOut: True,WiFi: free,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}","hMh9XOwNQcu31NAOCqhAEw","Restaurants,Vegetarian,Indian","Las Vegas","",1,36.099142,-115.136192,"Taste of India","Southeast",89119,33,3.5,"NV","business"
"2053 Pama Ln","Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False},BikeParking: False,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},Caters: False,GoodForKids: False,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True},HasTV: False,NoiseLevel: quiet,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: False,RestaurantsPriceRange2: 2,RestaurantsReservations: True,RestaurantsTableService: True,RestaurantsTakeOut: True,WiFi: no","pmJqSsCfgbo3TxPWpQNLIw","American (New),Cafes,Restaurants","Las Vegas","Wednesday 10:0-14:0,Thursday 10:0-14:0,Friday 10:0-14:0,Saturday 10:0-14:0,Sunday 10:0-14:0",0,36.0658388,-115.1239441,"Artisanal Foods Cafe","Southeast",89119,35,4.5,"NV","business"
"4341 N Rancho Dr","Alcohol: full_bar,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False},BikeParking: False,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},CoatCheck: False,GoodForDancing: True,HappyHour: True,HasTV: True,Music: {'dj': True, 'background_music': False, 'no_music': False, 'karaoke': True, 'live': False, 'video': False, 'jukebox': True},NoiseLevel: average,OutdoorSeating: True,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 1","kUUBBLBHCasOl2a5nW9nAw","Nightlife,Bars,Restaurants,Thai,Sports Bars","Las Vegas","",0,36.2384622,-115.2319504,"Bailey's Sports Bar & Eatery","Northwest",89130,9,3.5,"NV","business"
"4949 N Rancho Dr","Alcohol: none,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},BusinessAcceptsCreditCards: True,Caters: True,GoodForKids: True,HasTV: True,NoiseLevel: loud,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 1,RestaurantsReservations: False,RestaurantsTableService: False,RestaurantsTakeOut: True,WiFi: no,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},BikeParking: False,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}","A2pZTpFXWC38z506XIhnBQ","Chicken Wings,Fast Food,Restaurants","Las Vegas","Monday 10:30-0:0,Tuesday 10:30-0:0,Wednesday 10:30-0:0,Thursday 10:30-0:0,Friday 10:30-0:0,Saturday 0:0-2:0,Saturday 10:30-0:0,Sunday 0:0-2:0,Sunday 10:30-0:0",1,36.2497194319,-115.244528251,"Wingstop","Northwest",89130,41,3.5,"NV","business"
"2230 W Bonanza Rd","Alcohol: none,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},GoodForKids: True,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 2,RestaurantsReservations: False,RestaurantsTableService: False,RestaurantsTakeOut: True,WheelchairAccessible: True","InDH4ZQ_byiQ5PyaqgHI8Q","Barbeque,Restaurants,Southern","Las Vegas","",0,36.177516,-115.173218,"Big Mama's Soul Food Rib Shack","",89106,6,2,"NV","business"
"7002 W Charleston Blvd","Alcohol: beer_and_wine,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},GoodForKids: True,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False},OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: False,RestaurantsPriceRange2: 1,RestaurantsTableService: True,RestaurantsTakeOut: True,WheelchairAccessible: True","WleVOQ9YhBYl4SWrlsLDhA","Restaurants,Burgers,Local Flavor,Barbeque","Las Vegas","Monday 10:0-20:0,Tuesday 10:0-20:0,Wednesday 10:0-20:0,Thursday 10:0-20:0,Friday 10:0-20:30,Saturday 16:0-20:30",0,36.1591089,-115.2509355,"Red Apple Grill","Westside",89145,6,3.5,"NV","business"
"7501 N Cimarron Rd, Ste 108","Alcohol: none,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},BikeParking: True,BusinessAcceptsBitcoin: False,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},Caters: True,GoodForKids: True,GoodForMeal: {'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False},HasTV: False,NoiseLevel: quiet,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: True,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 1,RestaurantsReservations: False,RestaurantsTableService: False,RestaurantsTakeOut: True,WheelchairAccessible: True,WiFi: no","gMUAn6xcuE-TbY1seFw_Ww","Desserts,Food,Pizza,Restaurants,Bakeries","Las Vegas","Monday 11:0-21:0,Tuesday 11:0-20:0,Wednesday 11:0-20:0,Thursday 11:0-20:0,Friday 11:0-20:0,Saturday 11:0-20:0",1,36.29733,-115.270268,"Presto Calzone Bakery","Centennial",89131,132,4.5,"NV","business"
"7930 W Tropical Pkwy","Alcohol: beer_and_wine,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},Caters: True,GoodForKids: True,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False},HasTV: True,NoiseLevel: average,OutdoorSeating: True,RestaurantsAttire: casual,RestaurantsDelivery: True,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 2,RestaurantsReservations: False,RestaurantsTableService: True,RestaurantsTakeOut: True,WheelchairAccessible: True,WiFi: no","kUntNQ5P9IrRzEoHdRxV-w","Restaurants,Pizza","Las Vegas","Monday 11:0-21:0,Tuesday 11:0-21:0,Wednesday 11:0-21:0,Thursday 11:0-21:0,Friday 11:0-22:0,Saturday 11:0-22:0,Sunday 11:0-21:0",0,36.271169,-115.2677588,"Mark Rich's New York Pizza & Pasta","Centennial",89149,74,3.5,"NV","business"
"1930 N Decatur Blvd, Ste 1","Alcohol: beer_and_wine,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},Caters: False,GoodForKids: True,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False},HasTV: False,NoiseLevel: quiet,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: True,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 1,RestaurantsReservations: False,RestaurantsTableService: True,RestaurantsTakeOut: True,WheelchairAccessible: True,WiFi: no","-vb_yx5QnIhpXUIdPVD2og","Restaurants,Chinese","Las Vegas","Monday 11:30-22:0,Tuesday 11:30-22:0,Wednesday 11:30-22:0,Thursday 11:30-22:0,Friday 11:30-22:0,Saturday 16:0-22:0",0,36.1948912,-115.2051145,"Fair View Chinese Cuisine","",89108,7,3.5,"NV","business"
