"","X","word","freq","type"
"1","the","the",62,1
"2","food","food",60,1
"3","place","place",55,1
"4","order","order",51,1
"5","like","like",46,1
"6","just","just",44,1
"7","chicken","chicken",38,1
"8","pizza","pizza",36,1
"9","time","time",33,1
"10","dont","dont",30,1
"11","locat","locat",28,1
"12","eat","eat",27,1
"13","didnt","didnt",26,1
"14","get","get",26,1
"15","back","back",25,1
"16","even","even",24,1
"17","good","good",23,1
"18","fri","fri",22,1
"19","give","give",22,1
"20","got","got",22,1
"21","sandwich","sandwich",22,1
"22","tast","tast",22,1
"23","want","want",22,1
"24","look","look",21,1
"25","call","call",20,1
"26","chees","chees",20,1
"27","way","way",20,1
"28","bad","bad",19,1
"29","this","this",19,1
"30","know","know",18,1
"31","will","will",18,1
"32","review","review",16,1
"33","wait","wait",16,1
"34","bbq","bbq",15,1
"35","make","make",15,1
"36","servic","servic",15,1
"37","walk","walk",15,1
"38","went","went",15,1
"39","came","came",14,1
"40","never","never",14,1
"41","sauc","sauc",14,1
"42","say","say",14,1
"43","star","star",14,1
"44","well","well",14,1
"45","worst","worst",14,1
"46","minut","minut",13,1
"47","realli","realli",13,1
"48","said","said",13,1
"49","they","they",13,1
"50","also","also",12,1
"51","ever","ever",12,1
"52","hour","hour",12,1
"53","price","price",12,1
"54","take","take",12,1
"55","tri","tri",12,1
"56","around","around",11,1
"57","custom","custom",11,1
"58","flavor","flavor",11,1
"59","horribl","horribl",11,1
"60","hot","hot",11,1
"61","kid","kid",11,1
"62","noth","noth",11,1
"63","peopl","peopl",11,1
"64","recommend","recommend",11,1
"65","subway","subway",11,1
"66","there","there",11,1
"67","took","took",11,1
"68","two","two",11,1
"69","actual","actual",10,1
"70","burger","burger",10,1
"71","busi","busi",10,1
"72","day","day",10,1
"73","deliveri","deliveri",10,1
"74","dri","dri",10,1
"75","drive","drive",10,1
"76","hard","hard",10,1
"77","let","let",10,1
"78","line","line",10,1
"79","long","long",10,1
"80","menu","menu",10,1
"81","old","old",10,1
"82","restaur","restaur",10,1
"83","rib","rib",10,1
"84","seem","seem",10,1
"85","side","side",10,1
"86","staff","staff",10,1
"87","tell","tell",10,1
"88","told","told",10,1
"89","area","area",9,1
"90","ask","ask",9,1
"91","away","away",9,1
"92","better","better",9,1
"93","charg","charg",9,1
"94","come","come",9,1
"95","cook","cook",9,1
"96","half","half",9,1
"97","item","item",9,1
"98","left","left",9,1
"99","meal","meal",9,1
"100","money","money",9,1
"101","much","much",9,1
"102","mushroom","mushroom",9,1
"103","need","need",9,1
"104","not","not",9,1
"105","plate","plate",9,1
"106","pork","pork",9,1
"107","super","super",9,1
"108","thing","thing",9,1
"109","think","think",9,1
